Subscription Code,Flow Rate (l/s),Number of Negative Flows,Percentage of Negative Flows,Operating Hours (h),Consumption (m³),Number of Available Data Points,تعداد مورد انتظار,درصد اطلاعات موجود,month
615183,,0,0.0,0.0,-0.01,31,31,100.0,1401/02
302041,,0,0.0,0.0,-2.6,31,31,100.0,1401/03
516231,,0,0.0,,-0.022,8,31,25.81,1401/03
515828,,0,0.0,0.0,-0.021,31,31,100.0,1401/03
520651,,0,0.0,1.1,-1727.106,30,31,96.77,1401/03
529150,11.76,31,100.0,2424.4,-31281.358,31,31,100.0,1401/03
529336,2.05,2,6.45,125.2,-1.789,31,31,100.0,1401/03
518586,,0,0.0,0.0,-37.9,31,31,100.0,1401/03
606010,30.0,1,3.23,1.0,-104.63,31,31,100.0,1401/03
516620,760.4,19,61.29,825.8,-255327.1,31,31,100.0,1401/03
212153,2.4,0,0.0,,-23.596,3,31,9.68,1401/03
530198,8.27,0,0.0,3532.7,-140164.6,31,31,100.0,1401/03
514660,1.77,7,22.58,4108.7,-74340.513,31,31,100.0,1401/03
517925,2.4,1,3.23,,-39.101,31,31,100.0,1401/03
601218,,0,0.0,0.0,-123.3,31,31,100.0,1401/03
514608,,0,0.0,0.0,-11682.2,31,31,100.0,1401/03
529019,,0,0.0,0.0,-98.2,31,31,100.0,1401/03
515478,9.47,31,100.0,1267.3,-23369.424,31,31,100.0,1401/03
514922,3.04,14,45.16,2137.1,-1991.012,31,31,100.0,1401/03
519465,,0,0.0,,-0.13,31,31,100.0,1401/03
529280,,0,0.0,0.0,-194.6,31,31,100.0,1401/03
107079,,0,0.0,,-1.032,4,31,12.9,1401/03
516091,,0,0.0,0.0,-0.292,31,31,100.0,1401/03
529097,,0,0.0,0.0,-3306.2,31,31,100.0,1401/03
618310,0.3,0,0.0,11377.5,-0.54,31,31,100.0,1401/03
515805,2.67,0,0.0,28394.5,-127386.5,31,31,100.0,1401/03
804865,,0,0.0,0.0,-1741.8,31,31,100.0,1401/03
515625,29.29,0,0.0,311.1,-18023.61,14,31,45.16,1401/03
925005,,0,0.0,,-549705.9,1,31,3.23,1401/03
515611,10.54,0,0.0,20683.0,-112525.7,31,31,100.0,1401/04
302041,,0,0.0,0.0,-2.6,31,31,100.0,1401/04
517768,,0,0.0,0.0,-993.5,31,31,100.0,1401/04
541983,,0,0.0,,-21.691,20,31,64.52,1401/04
514025,0.35,1,3.23,1.5,-55664.65,27,31,87.1,1401/04
529150,11.19,31,100.0,14988.0,-29424.09,31,31,100.0,1401/04
622093,0.3,0,0.0,,-2020.537,13,31,41.94,1401/04
519664,,0,0.0,0.0,-715.416,31,31,100.0,1401/04
529090,,0,0.0,64.1,-455628.28,31,31,100.0,1401/04
518586,,0,0.0,0.0,-37.9,31,31,100.0,1401/04
516414,2.0,0,0.0,,-5.054,31,31,100.0,1401/04
541763,,0,0.0,,-45.886,21,31,67.74,1401/04
805264,,0,0.0,0.0,-58.8,31,31,100.0,1401/04
111111,,0,0.0,0.0,-1567.0,31,31,100.0,1401/04
518510,,0,0.0,,-0.001,31,31,100.0,1401/04
515938,2.57,0,0.0,,-3.781,31,31,100.0,1401/04
530198,,0,0.0,0.0,-1486.4,31,31,100.0,1401/04
517921,1.0,1,3.23,,-2.86,31,31,100.0,1401/04
603078,,0,0.0,,-138.942,4,31,12.9,1401/04
514393,,0,0.0,,-24.282,7,31,22.58,1401/04
910761,,0,0.0,,-24.282,9,31,29.03,1401/04
601218,,0,0.0,0.0,-123.4,31,31,100.0,1401/04
517968,,0,0.0,,-13.241,20,31,64.52,1401/04
515587,,0,0.0,,-1519.3,11,31,35.48,1401/04
515627,,0,0.0,0.0,-8672.0,31,31,100.0,1401/04
514608,,0,0.0,0.0,-11682.1,31,31,100.0,1401/04
529166,0.9,0,0.0,33.1,-310834.7,13,31,41.94,1401/04
529424,1.13,0,0.0,22.3,-26225.494,13,31,41.94,1401/04
529019,,0,0.0,0.0,-98.1,31,31,100.0,1401/04
515478,8.94,31,100.0,835.7,-23530.1,31,31,100.0,1401/04
514922,3.13,6,19.35,565.9,-317.149,31,31,100.0,1401/04
519845,,0,0.0,0.0,-52.1,31,31,100.0,1401/04
806393,1.42,0,0.0,18.2,-13.321,31,31,100.0,1401/04
529280,,0,0.0,0.0,-194.7,31,31,100.0,1401/04
515550,,0,0.0,,-48.745,21,31,67.74,1401/04
529097,,0,0.0,0.0,-3306.2,31,31,100.0,1401/04
600061,,0,0.0,,-99.758,4,31,12.9,1401/04
514255,14.1,0,0.0,,-63.408,31,31,100.0,1401/04
514580,,0,0.0,0.0,-2156.9,31,31,100.0,1401/04
517446,1.62,1,3.23,8.1,-2.91,31,31,100.0,1401/04
529342,,0,0.0,,-77.259,4,31,12.9,1401/04
804865,,0,0.0,0.0,-1741.7,31,31,100.0,1401/04
604652,,0,0.0,0.0,-0.011,31,31,100.0,1401/04
200708,,0,0.0,,-49.934,20,31,64.52,1401/04
517400,1.45,1,3.23,6.7,-3.115,31,31,100.0,1401/04
122092,,0,0.0,0.0,-0.1,31,31,100.0,1401/04
516876,1.72,1,3.23,8.0,-329.709,31,31,100.0,1401/04
603033,,0,0.0,,-137.288,9,31,29.03,1401/04
122043,,0,0.0,,-44.783,21,31,67.74,1401/04
615183,,0,0.0,0.0,-0.146,31,31,100.0,1401/04
517638,,0,0.0,0.0,-780.9,31,31,100.0,1401/05
302041,,0,0.0,0.0,-2.7,31,31,100.0,1401/05
517768,,0,0.0,0.0,-993.6,31,31,100.0,1401/05
911654,,0,0.0,0.0,-0.1,31,31,100.0,1401/05
515846,0.75,0,0.0,2277.2,-2048.31,22,31,70.97,1401/05
529150,10.45,31,100.0,22638.5,-27799.18,31,31,100.0,1401/05
519664,,0,0.0,,-0.007,29,31,93.55,1401/05
615609,,0,0.0,,-0.019,31,31,100.0,1401/05
518586,,0,0.0,0.0,-37.9,31,31,100.0,1401/05
805264,,0,0.0,0.0,-58.9,31,31,100.0,1401/05
111111,,0,0.0,0.0,-1567.0,31,31,100.0,1401/05
530198,,0,0.0,0.0,-1486.4,31,31,100.0,1401/05
222224,,0,0.0,,-74.364,14,31,45.16,1401/05
514093,4.24,0,0.0,920.2,-76897.86,22,31,70.97,1401/05
517921,,0,0.0,,-0.36,31,31,100.0,1401/05
517925,,0,0.0,,-17.541,27,31,87.1,1401/05
603636,,0,0.0,,-1.389,1,31,3.23,1401/05
601218,,0,0.0,0.0,-123.3,31,31,100.0,1401/05
515627,,0,0.0,0.0,-8672.0,31,31,100.0,1401/05
514608,,0,0.0,0.0,-11682.1,31,31,100.0,1401/05
529019,,0,0.0,0.0,-98.1,31,31,100.0,1401/05
515478,8.23,18,58.06,26097.2,-4450.02,31,31,100.0,1401/05
514922,2.94,7,22.58,244.2,-668.947,31,31,100.0,1401/05
514053,,0,0.0,0.0,-43147.6,31,31,100.0,1401/05
519845,,0,0.0,0.0,-52.1,31,31,100.0,1401/05
529280,,0,0.0,0.0,-194.7,31,31,100.0,1401/05
529097,,0,0.0,0.0,-3306.1,31,31,100.0,1401/05
618310,0.4,1,3.23,,-0.77,31,31,100.0,1401/05
514255,,0,0.0,,-19.513,31,31,100.0,1401/05
514580,,0,0.0,0.0,-2156.8,31,31,100.0,1401/05
602378,,0,0.0,,-190.803,31,31,100.0,1401/05
603351,24.42,0,0.0,6977.4,-178540.686,31,31,100.0,1401/05
804865,,0,0.0,0.0,-1741.8,31,31,100.0,1401/05
604652,,0,0.0,,-0.016,31,31,100.0,1401/05
911408,,0,0.0,0.0,-0.6,31,31,100.0,1401/05
514394,3.7,0,0.0,,-25133.64,20,31,64.52,1401/05
529148,,0,0.0,,-117.056,31,31,100.0,1401/05
513475,2.15,0,0.0,,-18958.78,22,31,70.97,1401/05
517638,,0,0.0,0.0,-781.0,31,31,100.0,1401/06
302041,,0,0.0,0.0,-2.6,31,31,100.0,1401/06
517768,,0,0.0,0.0,-993.5,31,31,100.0,1401/06
515530,4.7,3,9.68,,-32.69,31,31,100.0,1401/06
600448,,0,0.0,0.0,-1983.1,31,31,100.0,1401/06
518131,,0,0.0,,-149.959,12,31,38.71,1401/06
604324,,0,0.0,,-315792.884,1,31,3.23,1401/06
603069,,0,0.0,,-0.466,12,31,38.71,1401/06
529150,8.91,22,70.97,40568.5,-22612.05,31,31,100.0,1401/06
615609,,0,0.0,,-0.024,31,31,100.0,1401/06
518586,,0,0.0,0.0,-37.8,31,31,100.0,1401/06
103226,0.3,1,3.23,,-0.3,31,31,100.0,1401/06
805264,,0,0.0,0.0,-58.8,31,31,100.0,1401/06
111111,,0,0.0,0.0,-1567.0,31,31,100.0,1401/06
530198,,0,0.0,0.0,-1486.3,31,31,100.0,1401/06
912722,,0,0.0,,-127706.1,15,31,48.39,1401/06
517186,0.12,0,0.0,116.5,-18033.26,20,31,64.52,1401/06
601218,,0,0.0,0.0,-123.4,31,31,100.0,1401/06
515627,,0,0.0,0.0,-8672.0,31,31,100.0,1401/06
514608,,0,0.0,0.0,-11682.1,31,31,100.0,1401/06
805172,0.96,0,0.0,54209.2,-23858.76,31,31,100.0,1401/06
516589,,0,0.0,,-0.002,31,31,100.0,1401/06
529019,,0,0.0,0.0,-98.1,31,31,100.0,1401/06
514053,,0,0.0,0.0,-43147.6,31,31,100.0,1401/06
519845,,0,0.0,0.0,-52.2,31,31,100.0,1401/06
529280,,0,0.0,0.0,-194.7,31,31,100.0,1401/06
529097,,0,0.0,0.0,-3306.2,31,31,100.0,1401/06
607069,24.2,0,0.0,,-92.49,31,31,100.0,1401/06
618310,0.37,3,9.68,,-0.61,31,31,100.0,1401/06
514255,3.4,1,3.23,,-53.442,31,31,100.0,1401/06
514580,,0,0.0,0.0,-2156.8,31,31,100.0,1401/06
804865,,0,0.0,0.0,-1741.7,31,31,100.0,1401/06
911408,,0,0.0,0.0,-0.7,31,31,100.0,1401/06
603033,,0,0.0,,-437.461,12,31,38.71,1401/06
514700,23.88,11,35.48,86.9,-5302.469,31,31,100.0,1401/06
804229,,0,0.0,,-3885.269,12,31,38.71,1401/06
804176,,0,0.0,,-83.863,12,31,38.71,1401/06
911508,0.75,0,0.0,5.5,-12.296,29,30,96.67,1401/07
517638,,0,0.0,0.0,-755.7,30,30,100.0,1401/07
302041,,0,0.0,0.0,-2.5,30,30,100.0,1401/07
517768,,0,0.0,0.0,-961.5,30,30,100.0,1401/07
514487,,0,0.0,,-55.1,30,30,100.0,1401/07
600448,,0,0.0,0.0,-1919.1,30,30,100.0,1401/07
100212,2.8,0,0.0,,-55.204,29,30,96.67,1401/07
529041,4.57,0,0.0,51.0,-17714.284,4,30,13.33,1401/07
604324,0.5,0,0.0,25.8,-1.516,29,30,96.67,1401/07
519747,,0,0.0,0.0,-124.9,30,30,100.0,1401/07
514162,,0,0.0,0.0,-3189.4,30,30,100.0,1401/07
529150,6.3,3,10.0,12016.1,-2244.4,14,30,46.67,1401/07
615609,0.1,1,3.33,,-1.017,14,30,46.67,1401/07
518586,,0,0.0,0.0,-36.7,30,30,100.0,1401/07
516265,0.4,0,0.0,19.0,-4870.288,30,30,100.0,1401/07
103226,,0,0.0,,-0.18,30,30,100.0,1401/07
518744,,0,0.0,,-49.132,29,30,96.67,1401/07
302565,1.35,0,0.0,5256.6,-950.17,30,30,100.0,1401/07
805264,,0,0.0,0.0,-56.9,30,30,100.0,1401/07
514163,16.0,0,0.0,,-18677.937,6,30,20.0,1401/07
516618,,0,0.0,,-23.065,29,30,96.67,1401/07
111111,,0,0.0,0.0,-1516.5,30,30,100.0,1401/07
212151,,0,0.0,,-10168.79,29,30,96.67,1401/07
530198,,0,0.0,0.0,-1438.4,30,30,100.0,1401/07
514094,,0,0.0,,-7.9,30,30,100.0,1401/07
514660,0.2,0,0.0,23.8,-7.687,24,30,80.0,1401/07
601218,,0,0.0,0.0,-119.3,30,30,100.0,1401/07
515812,,0,0.0,0.0,-64162.4,30,30,100.0,1401/07
515627,,0,0.0,0.0,-8392.2,30,30,100.0,1401/07
514608,,0,0.0,0.0,-11305.3,30,30,100.0,1401/07
529005,,0,0.0,,-404896.5,8,30,26.67,1401/07
529019,,0,0.0,0.0,-95.0,30,30,100.0,1401/07
514947,,0,0.0,0.0,-43.3,30,30,100.0,1401/07
602498,,0,0.0,,-0.114,30,30,100.0,1401/07
514053,,0,0.0,0.0,-41755.7,30,30,100.0,1401/07
519845,,0,0.0,0.0,-50.4,30,30,100.0,1401/07
529169,,0,0.0,0.0,-29732.8,30,30,100.0,1401/07
529280,,0,0.0,0.0,-188.3,30,30,100.0,1401/07
529221,0.1,0,0.0,4.9,-1.755,1,30,3.33,1401/07
107079,,0,0.0,,-1.189,13,30,43.33,1401/07
529097,,0,0.0,0.0,-3199.6,30,30,100.0,1401/07
518293,,0,0.0,0.0,-0.2,30,30,100.0,1401/07
603601,,0,0.0,,-0.46,30,30,100.0,1401/07
607069,,0,0.0,,-35.26,30,30,100.0,1401/07
805347,,0,0.0,0.0,-435.7,30,30,100.0,1401/07
618310,,0,0.0,,-0.2,30,30,100.0,1401/07
514421,,0,0.0,,-161.3,30,30,100.0,1401/07
514255,,0,0.0,,-124.163,30,30,100.0,1401/07
514580,,0,0.0,0.0,-2087.3,30,30,100.0,1401/07
518972,4.07,0,0.0,145.8,-2335.228,30,30,100.0,1401/07
804865,,0,0.0,0.0,-1685.6,30,30,100.0,1401/07
911408,,0,0.0,0.0,-0.7,30,30,100.0,1401/07
514699,,0,0.0,,-3902.5,30,30,100.0,1401/07
515792,,0,0.0,0.0,-31.4,30,30,100.0,1401/07
603044,4.47,0,0.0,2.0,-92148.274,29,30,96.67,1401/07
518054,,0,0.0,,-8336.758,1,30,3.33,1401/07
107149,8.5,0,0.0,,-14.1,9,30,30.0,1401/07
517638,,0,0.0,0.0,-755.8,30,30,100.0,1401/08
302041,,0,0.0,0.0,-2.5,30,30,100.0,1401/08
517768,,0,0.0,0.0,-961.5,30,30,100.0,1401/08
515530,,0,0.0,,-73.26,30,30,100.0,1401/08
911838,,0,0.0,0.0,-1501.9,30,30,100.0,1401/08
529293,15.82,0,0.0,14058.5,-29017.5,30,30,100.0,1401/08
515056,,0,0.0,0.0,-70.0,30,30,100.0,1401/08
600448,,0,0.0,0.0,-1919.2,30,30,100.0,1401/08
806526,0.63,0,0.0,4420.2,-3.38,30,30,100.0,1401/08
606059,1.5,0,0.0,681.5,-2.0,12,30,40.0,1401/08
805895,,0,0.0,,-0.005,30,30,100.0,1401/08
517316,2.0,0,0.0,,-26784.0,23,30,76.67,1401/08
519747,,0,0.0,0.0,-124.8,30,30,100.0,1401/08
622260,,0,0.0,,-0.3,30,30,100.0,1401/08
514763,,0,0.0,,-56.7,30,30,100.0,1401/08
517766,,0,0.0,0.0,-13845.4,30,30,100.0,1401/08
603043,2.55,0,0.0,4822.4,-2.55,30,30,100.0,1401/08
514162,,0,0.0,0.0,-3189.4,30,30,100.0,1401/08
615609,,0,0.0,,-0.462,30,30,100.0,1401/08
518586,,0,0.0,0.0,-36.7,30,30,100.0,1401/08
102531,,0,0.0,0.0,-2507.4,30,30,100.0,1401/08
804873,,0,0.0,0.0,-5219.6,30,30,100.0,1401/08
805264,,0,0.0,0.0,-57.0,30,30,100.0,1401/08
514163,17.8,0,0.0,234.9,-10529.98,30,30,100.0,1401/08
111111,,0,0.0,0.0,-1516.4,30,30,100.0,1401/08
606009,,0,0.0,,-0.1,30,30,100.0,1401/08
100085,,0,0.0,,-76768.63,30,30,100.0,1401/08
530198,,0,0.0,0.0,-1438.5,30,30,100.0,1401/08
514088,,0,0.0,,-411.6,30,30,100.0,1401/08
514090,,0,0.0,0.0,-282.1,30,30,100.0,1401/08
514097,,0,0.0,,-3146.06,30,30,100.0,1401/08
601218,,0,0.0,0.0,-119.4,30,30,100.0,1401/08
515812,,0,0.0,0.0,-64162.3,30,30,100.0,1401/08
515627,,0,0.0,0.0,-8392.2,30,30,100.0,1401/08
529581,,0,0.0,,-0.001,28,30,93.33,1401/08
514608,,0,0.0,0.0,-11305.3,30,30,100.0,1401/08
529028,,0,0.0,,-1.26,12,30,40.0,1401/08
524216,,0,0.0,,-0.436,30,30,100.0,1401/08
529580,0.9,0,0.0,698.0,-0.53,30,30,100.0,1401/08
529382,,0,0.0,,-125.98,10,30,33.33,1401/08
529019,,0,0.0,0.0,-95.0,30,30,100.0,1401/08
514947,,0,0.0,0.0,-43.2,30,30,100.0,1401/08
514053,,0,0.0,0.0,-41755.8,30,30,100.0,1401/08
519845,,0,0.0,0.0,-50.5,30,30,100.0,1401/08
529169,,0,0.0,0.0,-29732.7,30,30,100.0,1401/08
529280,,0,0.0,0.0,-188.4,30,30,100.0,1401/08
529097,,0,0.0,0.0,-3199.5,30,30,100.0,1401/08
518293,,0,0.0,0.0,-0.3,30,30,100.0,1401/08
805347,,0,0.0,0.0,-435.8,30,30,100.0,1401/08
519313,0.4,0,0.0,,-1.94,30,30,100.0,1401/08
514580,,0,0.0,0.0,-2087.2,30,30,100.0,1401/08
804865,,0,0.0,0.0,-1685.5,30,30,100.0,1401/08
805080,,0,0.0,0.0,-134.6,30,30,100.0,1401/08
122092,,0,0.0,0.0,-0.1,30,30,100.0,1401/08
911408,,0,0.0,0.0,-0.6,30,30,100.0,1401/08
514699,7.57,0,0.0,25814.6,-16420.7,30,30,100.0,1401/08
515792,,0,0.0,0.0,-31.3,30,30,100.0,1401/08
517638,,0,0.0,0.0,-755.8,30,30,100.0,1401/09
302041,,0,0.0,0.0,-2.6,30,30,100.0,1401/09
517768,,0,0.0,0.0,-961.5,30,30,100.0,1401/09
911838,,0,0.0,0.0,-1501.9,30,30,100.0,1401/09
519042,0.7,0,0.0,,-21.441,30,30,100.0,1401/09
806413,,0,0.0,,-39.288,11,30,36.67,1401/09
515056,,0,0.0,0.0,-70.0,30,30,100.0,1401/09
517979,14.15,0,0.0,0.0,-5600.8,30,30,100.0,1401/09
600448,,0,0.0,0.0,-1919.1,30,30,100.0,1401/09
514153,,0,0.0,,-110480.4,10,30,33.33,1401/09
514511,6.4,0,0.0,,-606.747,30,30,100.0,1401/09
529013,,0,0.0,0.0,-15341.4,30,30,100.0,1401/09
519747,,0,0.0,0.0,-124.9,30,30,100.0,1401/09
514763,,0,0.0,,-130143.76,18,30,60.0,1401/09
517766,,0,0.0,0.0,-13845.4,30,30,100.0,1401/09
514162,,0,0.0,0.0,-3189.4,30,30,100.0,1401/09
529330,,0,0.0,,-746046.2,23,30,76.67,1401/09
518586,,0,0.0,0.0,-36.6,30,30,100.0,1401/09
804714,0.5,0,0.0,,-4.488,30,30,100.0,1401/09
102531,,0,0.0,0.0,-2507.5,30,30,100.0,1401/09
804873,,0,0.0,0.0,-5219.6,30,30,100.0,1401/09
805264,,0,0.0,0.0,-56.9,30,30,100.0,1401/09
605368,,0,0.0,0.0,-3717.4,30,30,100.0,1401/09
514163,,0,0.0,,-13264.22,30,30,100.0,1401/09
111111,,0,0.0,0.0,-1516.5,30,30,100.0,1401/09
514901,,0,0.0,,-148568.4,13,30,43.33,1401/09
100085,,0,0.0,,-43956.95,30,30,100.0,1401/09
530198,,0,0.0,0.0,-1438.4,30,30,100.0,1401/09
516353,10.5,0,0.0,9689.1,-365346.6,30,30,100.0,1401/09
516366,3.7,0,0.0,,-0.89,30,30,100.0,1401/09
514090,,0,0.0,0.0,-282.1,30,30,100.0,1401/09
514097,,0,0.0,,-3146.03,30,30,100.0,1401/09
514441,,0,0.0,,-0.3,30,30,100.0,1401/09
604034,2.19,0,0.0,4278.7,-19605.06,30,30,100.0,1401/09
516735,,0,0.0,,-0.1,30,30,100.0,1401/09
601218,,0,0.0,0.0,-119.4,30,30,100.0,1401/09
515812,,0,0.0,0.0,-64162.4,30,30,100.0,1401/09
515627,,0,0.0,0.0,-8392.3,30,30,100.0,1401/09
514608,,0,0.0,0.0,-11305.3,30,30,100.0,1401/09
516834,,0,0.0,,-0.07,24,30,80.0,1401/09
805272,,0,0.0,,-297.451,14,30,46.67,1401/09
529019,,0,0.0,0.0,-94.9,30,30,100.0,1401/09
514947,,0,0.0,0.0,-43.2,30,30,100.0,1401/09
514053,,0,0.0,0.0,-41755.7,30,30,100.0,1401/09
519845,,0,0.0,0.0,-50.4,30,30,100.0,1401/09
529169,,0,0.0,0.0,-29732.8,30,30,100.0,1401/09
529280,,0,0.0,0.0,-188.4,30,30,100.0,1401/09
515477,,0,0.0,,-0.003,30,30,100.0,1401/09
529097,,0,0.0,0.0,-3199.5,30,30,100.0,1401/09
518293,,0,0.0,0.0,-0.2,30,30,100.0,1401/09
805347,,0,0.0,0.0,-435.7,30,30,100.0,1401/09
514580,,0,0.0,0.0,-2087.3,30,30,100.0,1401/09
804865,,0,0.0,0.0,-1685.6,30,30,100.0,1401/09
805080,,0,0.0,0.0,-134.7,30,30,100.0,1401/09
911408,,0,0.0,0.0,-0.7,30,30,100.0,1401/09
514699,4.07,0,0.0,301.6,-4061.6,30,30,100.0,1401/09
515792,,0,0.0,0.0,-31.4,30,30,100.0,1401/09
515637,,0,0.0,0.0,-6694.2,30,30,100.0,1401/09
517963,12.78,0,0.0,109091.3,-651134.153,30,30,100.0,1401/10
517638,,0,0.0,0.0,-755.7,30,30,100.0,1401/10
302041,,0,0.0,0.0,-2.5,30,30,100.0,1401/10
514059,,0,0.0,0.0,-2543.6,30,30,100.0,1401/10
618400,,0,0.0,,-2.4,5,30,16.67,1401/10
107165,0.88,0,0.0,,-1.3,30,30,100.0,1401/10
517768,,0,0.0,0.0,-961.5,30,30,100.0,1401/10
514487,1.0,0,0.0,,-1.5,30,30,100.0,1401/10
515854,,0,0.0,,-0.3,30,30,100.0,1401/10
911838,,0,0.0,0.0,-1501.9,30,30,100.0,1401/10
519042,,0,0.0,,-8.782,30,30,100.0,1401/10
چاه G,,0,0.0,,-258.465,1,30,3.33,1401/10
پمپاژ چاه D,,0,0.0,,-122.475,20,30,66.67,1401/10
چاه بهاریه 1,,0,0.0,,-216.148,20,30,66.67,1401/10
فروتقه,,0,0.0,,-79.86,12,30,40.0,1401/10
قوچ پلنگ,,0,0.0,,-172.93,12,30,40.0,1401/10
515056,,0,0.0,0.0,-70.1,30,30,100.0,1401/10
805204,,0,0.0,0.0,-58.6,30,30,100.0,1401/10
517979,,0,0.0,0.0,-10111.1,30,30,100.0,1401/10
600448,,0,0.0,0.0,-1919.1,30,30,100.0,1401/10
805637,29.71,0,0.0,135.8,-566628.7,30,30,100.0,1401/10
514682,,0,0.0,0.0,-34816.0,30,30,100.0,1401/10
601523,,0,0.0,,-2.186,21,30,70.0,1401/10
100212,,0,0.0,,-0.134,30,30,100.0,1401/10
529013,,0,0.0,0.0,-15341.3,30,30,100.0,1401/10
519905,,0,0.0,,-3928.105,10,30,33.33,1401/10
517495,1.97,0,0.0,3871.3,-19.47,30,30,100.0,1401/10
519747,,0,0.0,0.0,-124.8,30,30,100.0,1401/10
514596,,0,0.0,0.0,-5372.0,30,30,100.0,1401/10
514763,0.3,0,0.0,63142.1,-46500.03,22,30,73.33,1401/10
603230,,0,0.0,0.0,-19.651,30,30,100.0,1401/10
517766,,0,0.0,0.0,-13845.3,30,30,100.0,1401/10
301121,4.95,0,0.0,,-280.3,30,30,100.0,1401/10
514162,,0,0.0,0.0,-3189.4,30,30,100.0,1401/10
515976,,0,0.0,0.0,-16.1,30,30,100.0,1401/10
518586,,0,0.0,0.0,-36.7,30,30,100.0,1401/10
530103,,0,0.0,0.0,-172.214,30,30,100.0,1401/10
103226,0.37,0,0.0,,-0.1,30,30,100.0,1401/10
102531,,0,0.0,0.0,-2507.4,30,30,100.0,1401/10
804873,,0,0.0,0.0,-5219.5,30,30,100.0,1401/10
805264,,0,0.0,0.0,-57.0,30,30,100.0,1401/10
605368,,0,0.0,0.0,-3717.4,30,30,100.0,1401/10
514163,,0,0.0,,-19027.89,30,30,100.0,1401/10
111111,,0,0.0,0.0,-1516.4,30,30,100.0,1401/10
100085,,0,0.0,,-42466.76,30,30,100.0,1401/10
530198,,0,0.0,0.0,-1438.4,30,30,100.0,1401/10
515134,0.8,0,0.0,,-1085.841,28,30,93.33,1401/10
541355,0.35,0,0.0,,-0.233,30,30,100.0,1401/10
519696,,0,0.0,0.0,-0.015,30,30,100.0,1401/10
516366,,0,0.0,,-0.26,30,30,100.0,1401/10
514090,,0,0.0,0.0,-282.1,30,30,100.0,1401/10
516356,,0,0.0,,-0.5,30,30,100.0,1401/10
516374,1.1,0,0.0,,-1.73,30,30,100.0,1401/10
514097,,0,0.0,0.0,-73346.52,30,30,100.0,1401/10
514148,,0,0.0,,-0.036,30,30,100.0,1401/10
603636,,0,0.0,,-5759.526,1,30,3.33,1401/10
601218,,0,0.0,0.0,-119.3,30,30,100.0,1401/10
601051,,0,0.0,,-0.008,30,30,100.0,1401/10
515812,,0,0.0,0.0,-64162.4,30,30,100.0,1401/10
