Subscription Code,Flow Rate (l/s),Number of Negative Flows,Percentage of Negative Flows,Operating Hours (h),Consumption (m³),Number of Available Data Points,تعداد مورد انتظار,درصد اطلاعات موجود,month
516682,1.17,0,0.0,6066.2,195.79,31,31,100.0,1401/01
517913,3.96,0,0.0,8204.2,537.51,30,31,96.77,1401/01
529109,35.56,26,83.87,80372.4,8366018.5,30,31,96.77,1401/01
529293,32.36,31,100.0,79388.0,9152365.4,31,31,100.0,1401/01
514845,18.29,0,0.0,93172.5,724953.8,31,31,100.0,1401/01
529119,9.12,1,3.23,36506.3,10196.7,31,31,100.0,1401/01
804989,6.15,7,22.58,202482.8,572726.1,31,31,100.0,1401/01
804990,2.14,7,22.58,140563.1,67553.92,27,31,87.1,1401/01
515056,2.68,0,0.0,47674.3,2179.5,31,31,100.0,1401/01
529123,23.62,0,0.0,62531.6,23396.9,30,31,96.77,1401/01
515729,9.04,0,0.0,167279.9,18475.7,31,31,100.0,1401/01
805204,0.84,0,0.0,16046.0,430.272,31,31,100.0,1401/01
513149,42.78,0,0.0,61520.8,78548.0,31,31,100.0,1401/01
517979,10.12,0,0.0,77921.0,200371.4,31,31,100.0,1401/01
804926,,0,0.0,0.0,0.0,31,31,100.0,1401/01
600448,2.87,0,0.0,38965.5,5507.49,31,31,100.0,1401/01
517970,5.84,0,0.0,30529.5,2540.72,31,31,100.0,1401/01
805637,5.02,3,9.68,2794.8,4200.517,31,31,100.0,1401/01
514153,6.16,0,0.0,13025.9,9444.11,31,31,100.0,1401/01
514682,15.47,0,0.0,60987.7,36536.2,31,31,100.0,1401/01
604990,1.64,0,0.0,20902.6,857.979,31,31,100.0,1401/01
806067,0.59,3,9.68,14880.4,9.098,31,31,100.0,1401/01
516594,6.79,0,0.0,1186.0,4380.793,31,31,100.0,1401/01
529079,20.18,0,0.0,729.4,54020.88,31,31,100.0,1401/01
122041,,0,0.0,0.0,76.3,31,31,100.0,1401/01
601523,,0,0.0,0.5,4.049,31,31,100.0,1401/01
514515,17.19,0,0.0,970.1,28596.88,31,31,100.0,1401/01
516677,0.41,0,0.0,25766.9,78.38,31,31,100.0,1401/01
805166,4.16,0,0.0,64727.5,11108.28,31,31,100.0,1401/01
805079,,0,0.0,,0.0,31,31,100.0,1401/01
514890,30.54,0,0.0,8841.9,79288.17,31,31,100.0,1401/01
514900,34.5,0,0.0,566.5,71471.18,31,31,100.0,1401/01
517767,18.92,0,0.0,21949.0,48787.7,31,31,100.0,1401/01
515085,7.16,0,0.0,167691.3,18437.6,31,31,100.0,1401/01
516651,1.85,0,0.0,808.2,393.121,31,31,100.0,1401/01
101277,1.49,0,0.0,798.3,405.846,31,31,100.0,1401/01
514555,3.56,2,6.45,35878.9,47392.23,31,31,100.0,1401/01
806526,,0,0.0,522.8,0.0,31,31,100.0,1401/01
603085,,0,0.0,0.0,0.0,21,31,67.74,1401/01
603280,,0,0.0,0.0,0.0,5,31,16.13,1401/01
517826,,0,0.0,0.0,117323.92,31,31,100.0,1401/01
529041,1.88,0,0.0,9281.0,389.5,31,31,100.0,1401/01
514587,10.55,0,0.0,51271.8,23949.7,26,31,83.87,1401/01
514050,1.48,0,0.0,88619.1,3210.27,31,31,100.0,1401/01
515620,10.13,0,0.0,140174.2,26290.3,31,31,100.0,1401/01
514339,,0,0.0,0.0,0.0,12,31,38.71,1401/01
529298,12.05,0,0.0,59804.0,32201.7,31,31,100.0,1401/01
529057,6.37,0,0.0,117527.0,17003.2,31,31,100.0,1401/01
622492,,0,0.0,0.0,0.0,31,31,100.0,1401/01
514678,6.36,0,0.0,19997.8,14602.08,31,31,100.0,1401/01
804592,,0,0.0,,0.0,31,31,100.0,1401/01
515273,21.81,0,0.0,23204.1,51173.1,31,31,100.0,1401/01
514831,,0,0.0,,0.0,31,31,100.0,1401/01
602398,1.18,0,0.0,2751.7,249.927,11,31,35.48,1401/01
805081,8.66,0,0.0,4746.9,1158.72,31,31,100.0,1401/01
911318,,0,0.0,0.0,1.661,31,31,100.0,1401/01
910813,5.55,0,0.0,1289.4,2662.149,31,31,100.0,1401/01
529122,7.87,6,19.35,32212.9,162584.12,31,31,100.0,1401/01
514923,5.1,0,0.0,3072.4,10158.975,31,31,100.0,1401/01
514640,14.23,0,0.0,38.4,1991.7,31,31,100.0,1401/01
519171,2.07,0,0.0,7162.6,326.635,31,31,100.0,1401/01
514618,5.81,3,9.68,2050.7,2994.139,31,31,100.0,1401/01
518680,4.68,0,0.0,592.5,68.197,31,31,100.0,1401/01
529154,3.69,0,0.0,125926.3,9703.1,31,31,100.0,1401/01
529231,5.1,0,0.0,28939.9,12387.84,31,31,100.0,1401/01
603187,,0,0.0,,0.0,31,31,100.0,1401/01
622449,6.35,0,0.0,14163.1,8739.7,31,31,100.0,1401/01
529013,17.44,0,0.0,148068.3,45019.7,31,31,100.0,1401/01
102539,,0,0.0,0.0,0.0,15,31,48.39,1401/01
805353,4.45,0,0.0,16708.1,2081.59,31,31,100.0,1401/01
618327,,0,0.0,0.0,0.0,15,31,48.39,1401/01
529233,3.45,0,0.0,41234.4,8877.7,31,31,100.0,1401/01
514675,38.62,0,0.0,52707.9,65977.6,31,31,100.0,1401/01
516096,1.01,0,0.0,1704.8,128.587,31,31,100.0,1401/01
529241,17.58,0,0.0,238488.4,42641.4,31,31,100.0,1401/01
529240,17.71,0,0.0,181600.2,25693.5,31,31,100.0,1401/01
805047,2.25,0,0.0,14933.5,2822.611,31,31,100.0,1401/01
801721980404,13.69,0,0.0,26327.1,151998.8,31,31,100.0,1401/01
515633,8.88,0,0.0,16388.4,19597.04,31,31,100.0,1401/01
924100,2.65,0,0.0,3101.5,6449.472,31,31,100.0,1401/01
202545,,0,0.0,,0.0,31,31,100.0,1401/01
530165,,0,0.0,,0.0,31,31,100.0,1401/01
520651,0.38,0,0.0,25686.0,27.731,31,31,100.0,1401/01
519905,5.06,3,9.68,2730.9,1555.416,31,31,100.0,1401/01
514787,,0,0.0,,0.0,31,31,100.0,1401/01
517495,11.77,0,0.0,4637.9,22059.1,31,31,100.0,1401/01
529155,15.27,1,3.23,20526.8,34379.2,31,31,100.0,1401/01
515436,0.67,0,0.0,883.3,771.973,31,31,100.0,1401/01
601055,2.87,0,0.0,,112.046,31,31,100.0,1401/01
529108,23.1,0,0.0,42907.0,31904.4,31,31,100.0,1401/01
529107,31.1,0,0.0,24051.8,43588.6,31,31,100.0,1401/01
523005,,0,0.0,,0.0,31,31,100.0,1401/01
925243,,0,0.0,,0.0,31,31,100.0,1401/01
529259,,0,0.0,0.0,0.0,12,31,38.71,1401/01
516926,24.46,0,0.0,129358.6,61430.0,31,31,100.0,1401/01
805803,1.23,0,0.0,709.0,94.433,31,31,100.0,1401/01
514977,18.35,0,0.0,5691.1,58993.35,31,31,100.0,1401/01
604330,2.62,0,0.0,187946.6,6640.2,31,31,100.0,1401/01
530042,6.64,0,0.0,10768.0,1764.87,31,31,100.0,1401/01
514226,20.1,0,0.0,26898.0,38250.9,31,31,100.0,1401/01
514227,2.51,0,0.0,199362.8,4864.4,31,31,100.0,1401/01
515531,,0,0.0,,0.0,31,31,100.0,1401/01
516155,2.78,3,9.68,4557.1,7588.569,31,31,100.0,1401/01
805895,0.67,1,3.23,0.5,1.613,31,31,100.0,1401/01
514348,6.88,0,0.0,299.6,684.569,31,31,100.0,1401/01
517316,4.78,0,0.0,6487.6,1265.37,31,31,100.0,1401/01
516736,1.74,0,0.0,17574.8,388.869,31,31,100.0,1401/01
604729,1.31,0,0.0,1025.5,382.488,31,31,100.0,1401/01
100172980713,28.43,0,0.0,87059.0,78097.7,31,31,100.0,1401/01
604324,15.5,0,0.0,111443.7,19392.3,31,31,100.0,1401/01
601559,1.67,0,0.0,13.1,40.602,31,31,100.0,1401/01
519747,3.99,0,0.0,8657.9,1261.48,31,31,100.0,1401/01
602484,2.55,0,0.0,10877.1,860.576,31,31,100.0,1401/01
515682,,0,0.0,0.0,0.0,8,31,25.81,1401/01
911654,,0,0.0,0.0,0.0,31,31,100.0,1401/01
514968,15.93,0,0.0,2193.8,5643.02,31,31,100.0,1401/01
516421,,0,0.0,,0.0,31,31,100.0,1401/01
602392,1.11,0,0.0,8325.3,268.282,31,31,100.0,1401/01
514722,,0,0.0,,0.0,31,31,100.0,1401/01
804572,2.61,0,0.0,1776.7,931294.7,31,31,100.0,1401/01
804570,27.47,0,0.0,123318.5,62423.5,31,31,100.0,1401/01
529205,23.53,1,3.23,3725.6,13319.11,15,31,48.39,1401/01
529168,0.33,0,0.0,45747.7,900.383,31,31,100.0,1401/01
514312,11.88,0,0.0,458.3,18863.68,31,31,100.0,1401/01
