Subscription Code,License Type,County,Meter Serial,Meter Size,Installation Date,Last Connection Time,Consumption in Period (m³),Operating Hours in Period (h),Average Flow Rate in Period (l/s)
514847,کشاورزی,مشهد,909801036532.0,80.0,1400/07/29,1404/01/28 - 02:10:29,45124.7,424626.1,2.31
515530,کشاورزی,مشهد,909801032736.0,150.0,1399/07/09,1404/01/28 - 03:08:35,685687.52,753641.6,12.69
515529,کشاورزی,مشهد,909801032842.0,150.0,1399/07/09,1404/01/28 - 02:10:37,188795.0,563453.1,9.4
603011,کشاورزی,تربت حیدریه,909801050924.0,150.0,1402/04/19,1404/01/28 - 03:09:58,,,
102799,کشاورزی,سبزوار,909801035576.0,125.0,1400/04/10,1404/01/20 - 02:08:42,83443.38,455457.3,4.93
529229,کشاورزی,مشهد,909801035396.0,150.0,1400/04/13,1404/01/28 - 02:10:30,391496.3,853113.5,14.96
529219,کشاورزی,مشهد,909801035564.0,150.0,1400/04/14,1404/01/28 - 02:08:37,367239.7,1044163.9,14.2
200934,کشاورزی,قوچان,909801036488.0,150.0,1400/08/25,1404/01/28 - 03:10:32,350995.41,623918.5,20.73
603270,کشاورزی,تربت حیدریه,909801048208.0,150.0,1401/11/17,1404/01/28 - 03:09:43,52127.1,4350.9,14.5
529184,کشاورزی,مشهد,909801035653.0,200.0,1400/07/11,1404/01/28 - 03:10:44,582284.5,722695.5,29.64
804014,کشاورزی,نیشابور,909801039460.0,100.0,1401/05/26,1404/01/28 - 02:10:33,86370.09,22878.4,9.45
517437,کشاورزی,مشهد,909801035011.0,50.0,1400/06/24,1401/09/24 - 02:11:36,19490.225,227476.0,0.99
603020,کشاورزی,تربت حیدریه,909801036609.0,150.0,1400/08/05,1402/10/03 - 02:02:55,1151301.8,1110403.2,27.91
603019,کشاورزی,تربت حیدریه,909801036610.0,150.0,1400/09/07,1404/01/28 - 02:03:21,350733.38,316493.5,24.43
603017,کشاورزی,تربت حیدریه,909801036611.0,150.0,1402/04/26,1404/01/28 - 02:10:46,0.0,,
603015,کشاورزی,تربت حیدریه,909801036715.0,200.0,1400/09/08,1404/01/28 - 02:07:46,5221479.99,2786384.1,21.2
603016,کشاورزی,تربت حیدریه,909801036740.0,200.0,1400/09/09,1404/01/28 - 03:10:16,446424.5,1090948.6,16.13
601621980416,کشاورزی,طرقبه,601621980416.0,150.0,1398/08/14,1404/01/25 - 01:01:16,,,
805438,کشاورزی,نیشابور,909801044474.0,50.0,1401/06/08,1403/08/14 - 02:10:32,186.435,124.5,0.97
514804,کشاورزی,مشهد,909801048239.0,100.0,1402/03/28,1404/01/28 - 03:10:28,0.0,,
529109,کشاورزی,مشهد,909801033383.0,150.0,1399/09/09,1403/08/06 - 02:10:26,9069948.3,459662.7,34.79
529047,کشاورزی,مشهد,909801045530.0,150.0,1401/07/02,1404/01/28 - 02:10:30,1.1,0.0,
514845,کشاورزی,مشهد,909801032831.0,200.0,1399/07/06,1404/01/28 - 02:10:46,1795947.9,1574972.8,17.74
529119,کشاورزی,مشهد,909801033659.0,125.0,1399/10/07,1404/01/28 - 03:07:42,362482.6,1569081.9,7.85
804989,کشاورزی,مشهد,909801034808.0,80.0,1400/04/01,1404/01/28 - 02:00:01,1561648.0,620081.0,10.3
804990,کشاورزی,مشهد,909801035225.0,100.0,1400/04/01,1403/09/02 - 03:10:37,495714.3,806834.7,4.88
515056,کشاورزی,مشهد,909801032912.0,100.0,1399/07/10,1404/01/28 - 02:11:37,59110.98,395333.5,1.85
529123,کشاورزی,مشهد,909801034012.0,125.0,1399/11/30,1404/01/21 - 02:02:57,128747.8,1033831.0,19.38
515729,کشاورزی,مشهد,909801032439.0,150.0,1399/04/25,1403/09/13 - 02:10:31,144040.6,2134711.1,7.69
805204,کشاورزی,نیشابور,909801033404.0,50.0,1399/08/25,1404/01/28 - 02:10:40,16618.9,52705.2,0.87
513149,کشاورزی,سرخس,909801035120.0,200.0,1400/03/10,1404/01/19 - 02:06:32,554223.4,823548.7,34.92
516020,کشاورزی,مشهد,909801058247.0,80.0,1403/01/20,1404/01/28 - 03:10:32,,,
526507,کشاورزی,مشهد,909801059555.0,80.0,1402/12/17,1404/01/27 - 02:45:09,,,
517979,کشاورزی,مشهد,909801033412.0,100.0,1399/10/22,1404/01/28 - 03:10:37,428567.6,1365666.3,7.07
600448,کشاورزی,نیشابور,909801033312.0,80.0,1399/10/18,1404/01/26 - 02:07:56,96258.28,263696.9,2.96
805637,کشاورزی,مشهد,909801033048.0,150.0,1399/07/16,1404/01/15 - 03:09:22,19528.169,368938.7,25.4
805677,کشاورزی,مشهد,909801052489.0,150.0,1402/03/29,1403/03/23 - 02:30:18,,,
514153,کشاورزی,مشهد,909801033115.0,50.0,1399/07/24,1404/01/28 - 03:08:22,-17688.98,286060.0,7.4
514682,کشاورزی,مشهد,909801033139.0,100.0,1399/10/06,1404/01/28 - 03:07:50,799709.4,494289.5,15.67
604990,کشاورزی,تربت حیدریه,909801033588.0,50.0,1399/09/27,1404/01/28 - 02:05:56,45955.981,275823.6,1.57
606176,کشاورزی,تربت حیدریه,909801034785.0,150.0,1400/01/27,1404/01/12 - 02:10:33,654563.3,132638.2,27.51
604689,کشاورزی,تایباد,909801063376.0,50.0,1403/06/16,1404/01/26 - 03:11:50,,,
529340,کشاورزی,مشهد,909801058265.0,150.0,1403/03/02,1404/01/28 - 03:10:34,,,
201412,کشاورزی,قوچان,909801041709.0,50.0,1401/06/18,1404/01/28 - 03:10:18,578.997,1012.8,0.97
516594,کشاورزی,مشهد,909801037198.0,100.0,1400/09/08,1404/01/28 - 02:10:45,81032.763,380617.6,4.25
529079,کشاورزی,مشهد,909801037184.0,150.0,1400/10/04,1404/01/17 - 02:10:12,7828181.58,2283265.9,15.42
102064,کشاورزی,سبزوار,909801048873.0,100.0,1401/11/11,1403/08/16 - 02:59:00,9193.257,1949.2,3.68
122041,کشاورزی,نیشابور,909801034022.0,50.0,1399/11/23,1404/01/28 - 02:10:44,898.6,0.0,
514515,کشاورزی,مشهد,909801039718.0,150.0,1401/01/08,1404/01/28 - 02:10:45,220666.6,666733.9,10.8
603415,کشاورزی,تربت حیدریه,909801046157.0,150.0,1401/07/28,1403/12/15 - 02:13:07,74149.19,63187.3,6.55
603265,کشاورزی,تربت حیدریه,909801064586.0,125.0,1403/05/16,1404/01/28 - 03:09:56,,,
805166,کشاورزی,نیشابور,909801035093.0,125.0,1400/03/06,1404/01/28 - 02:11:24,100805.35,522450.7,4.88
805079,کشاورزی,نیشابور,909801035313.0,50.0,1400/04/19,1404/01/01 - 02:11:20,1616.927,6373.1,1.66
514890,کشاورزی,مشهد,909801036713.0,200.0,1400/11/15,1404/01/28 - 02:10:31,628656.57,904363.1,24.52
514900,کشاورزی,مشهد,909801039245.0,200.0,1401/01/06,1404/01/28 - 02:06:55,868413.1,446106.6,30.61
517767,کشاورزی,مشهد,909801033938.0,200.0,1399/11/05,1404/01/23 - 03:07:57,557836.1,1472370.2,20.57
515085,کشاورزی,مشهد,909801032203.0,125.0,1398/11/02,1404/01/28 - 02:04:33,62340.6,497914.5,7.27
516651,کشاورزی,مشهد,909801034486.0,100.0,1399/12/24,1404/01/27 - 02:11:46,23820.252,115260.0,2.38
514555,کشاورزی,مشهد,909801035226.0,100.0,1400/04/15,1404/01/28 - 03:11:22,108582.1,642872.8,2.99
603085,کشاورزی,تربت حیدریه,909801041085.0,200.0,1401/02/02,1404/01/28 - 02:10:41,502647.3,727815.6,24.78
603280,کشاورزی,تربت حیدریه,909801041202.0,150.0,1401/02/02,1404/01/28 - 02:11:14,499446.6,74566.8,30.25
517826,کشاورزی,مشهد,909801033669.0,50.0,1399/10/08,1404/01/28 - 02:10:33,117522.02,0.0,
529041,کشاورزی,مشهد,909801036700.0,100.0,1400/09/03,1403/12/21 - 03:10:31,55529.43,1035469.9,5.88
200984,کشاورزی,قوچان,909801046928.0,50.0,1401/09/03,1404/01/28 - 03:10:29,19.495,,3.4
925137,کشاورزی,تایباد,909801052370.0,50.0,1402/07/19,1404/01/25 - 02:04:20,,,
529223,کشاورزی,مشهد,909801047196.0,125.0,1401/09/16,1404/01/27 - 03:12:44,26009.67,15452.8,4.87
514587,کشاورزی,مشهد,909801033878.0,100.0,1399/12/09,1404/01/28 - 03:08:25,120783.7,450368.4,8.98
514050,کشاورزی,مشهد,909801033416.0,100.0,1399/10/27,1404/01/26 - 01:56:49,55551.66,916184.9,4.74
514062,کشاورزی,مشهد,909801063158.0,150.0,1403/04/18,1404/01/27 - 03:10:42,,,
515620,کشاورزی,مشهد,909801035353.0,150.0,1400/04/12,1404/01/28 - 03:11:07,264837.4,2173812.5,10.09
518131,کشاورزی,مشهد,909801046211.0,150.0,1401/09/09,1404/01/28 - 03:10:42,80430.98,23280.4,14.41
609070,کشاورزی,کاشمر,909801060221.0,100.0,1403/02/03,1404/01/15 - 03:08:34,,,
514451,کشاورزی,مشهد,909801058383.0,150.0,1402/12/16,1404/01/28 - 03:10:07,,,
514339,کشاورزی,مشهد,909801041155.0,200.0,1401/08/19,1404/01/27 - 03:08:34,91286.3,3360.8,13.86
514511,کشاورزی,مشهد,909801047699.0,150.0,1402/07/08,1404/01/28 - 03:10:51,0.0,935.4,3.51
529298,کشاورزی,مشهد,909801033205.0,150.0,1399/11/19,1404/01/28 - 02:09:19,719747.2,987723.5,11.38
608234,کشاورزی,کاشمر,909801041738.0,100.0,1401/12/24,1404/01/28 - 02:10:38,773.892,133.7,1.4
622492,کشاورزی,کاشمر,909801040715.0,80.0,1401/02/26,1404/01/28 - 03:08:19,64345.82,34095.3,6.92
514678,کشاورزی,مشهد,909801035291.0,125.0,1400/10/17,1404/01/28 - 02:07:39,145712.71,795766.8,5.84
529315,کشاورزی,مشهد,909801044408.0,150.0,1401/04/20,1403/12/15 - 02:10:10,225693.6,36318.6,23.22
514447,کشاورزی,مشهد,909801065662.0,150.0,1403/06/07,1404/01/28 - 03:10:37,,,
515273,کشاورزی,مشهد,909801035466.0,150.0,1400/05/18,1404/01/26 - 02:12:44,464930.4,778312.1,19.36
603124,کشاورزی,تربت حیدریه,909801041725.0,125.0,1401/03/18,1404/01/28 - 02:10:27,611227.8,68111.8,20.55
514831,کشاورزی,مشهد,909801035105.0,200.0,1400/03/05,1401/09/08 - 02:10:30,0.0,,
513023,کشاورزی,سرخس,909801048265.0,80.0,1402/05/29,1404/01/28 - 03:11:00,0.0,,
300087,کشاورزی,گناباد,909801054210.0,100.0,1402/09/15,1404/01/28 - 02:07:36,,,
529122,کشاورزی,مشهد,909801039779.0,200.0,1400/12/07,1404/01/28 - 02:10:46,415548.5,1129858.7,7.77
514923,کشاورزی,مشهد,909801036534.0,80.0,1400/08/27,1404/01/28 - 02:11:13,72976.125,453453.6,4.22
514640,کشاورزی,مشهد,909801040660.0,125.0,1401/01/28,1404/01/28 - 01:07:37,127815.5,112618.1,11.31
529044,کشاورزی,مشهد,909801041727.0,125.0,1401/05/06,1403/12/22 - 02:07:53,188629.4,65961.5,17.84
