Subscription Code,Flow Rate (l/s),Number of Negative Flows,Percentage of Negative Flows,Operating Hours (h),Consumption (m³),Number of Available Data Points,تعداد مورد انتظار,درصد اطلاعات موجود,month
529014,8.37,3,9.68,319391.3,390216.1,31,31,100.0,1401/01
519465,0.4,2,6.45,65393.1,8.53,31,31,100.0,1401/01
514943,0.52,2,6.45,608561.4,181770.68,31,31,100.0,1401/01
518141,2.34,4,12.9,176525.0,1619.82,31,31,100.0,1401/01
515467,1.8,4,12.9,293.6,355.586,31,31,100.0,1401/01
518705,2.19,1,3.23,12044.7,4688.517,31,31,100.0,1401/01
516091,0.5,1,3.23,268.7,0.0,31,31,100.0,1401/01
615771,1.13,1,3.23,900.8,269.408,31,31,100.0,1401/01
615123,0.22,2,6.45,4540.0,111.054,31,31,100.0,1401/01
607069,12.24,3,9.68,6.5,304.59,31,31,100.0,1401/01
805347,1.26,3,9.68,131071.0,188187.91,31,31,100.0,1401/01
618310,0.44,7,22.58,4550.5,-5.43,31,31,100.0,1401/01
519313,0.88,1,3.23,10783.6,10704.532,31,31,100.0,1401/01
514421,2.62,4,12.9,8849.6,-108.7,31,31,100.0,1401/01
604294,4.61,1,3.23,15971.0,1628.617,31,31,100.0,1401/01
603131,14.38,1,3.23,96779.0,185135.6,31,31,100.0,1401/01
514563,11.39,5,16.13,589569.8,23036.9,31,31,100.0,1401/01
514564,6.96,15,48.39,569808.0,4081921.1,31,31,100.0,1401/01
515805,3.05,1,3.23,38988.8,119997.3,31,31,100.0,1401/01
604779,3.34,2,6.45,5107.8,8899.329,31,31,100.0,1401/01
518972,4.15,1,3.23,894.2,1918.024,29,31,93.55,1401/01
805896,2.74,1,3.23,54848.6,2236.33,31,31,100.0,1401/01
519047,4.0,1,3.23,3056.7,1780.189,31,31,100.0,1401/01
603351,1.2,1,3.23,0.5,2.753,15,31,48.39,1401/01
911898,2.41,2,6.45,5860.0,540.885,31,31,100.0,1401/01
514051,2.53,1,3.23,245.3,392.404,31,31,100.0,1401/01
107240,2.05,2,6.45,193297.3,311598.01,21,31,67.74,1401/01
514699,3.27,13,41.94,595873.8,1867905.7,31,31,100.0,1401/01
514604,3.48,7,22.58,368006.5,433395.73,31,31,100.0,1401/01
805645,3.22,2,6.45,1360.5,546.944,31,31,100.0,1401/01
514259,5.47,4,12.9,3715.8,3532.951,31,31,100.0,1401/01
911729,0.33,2,6.45,33202.1,35857.95,31,31,100.0,1401/01
603341,11.9,12,38.71,244754.6,2433986.9,31,31,100.0,1401/01
515626,11.79,15,48.39,23754.6,153060.74,31,31,100.0,1401/01
805646,1.36,1,3.23,756.1,581.043,31,31,100.0,1401/01
