,Subscription Code,License Type,County,Meter Serial,Meter Size,Installation Date,Last Connection Time,Consumption in Period (m³),Operating Hours in Period (h),Average Flow Rate in Period (l/s)
51,602411,شرب و بهداشت دام,خواف,909801036994.0,50.0,1400/08/18,1404/01/28 - 02:08:08,5697.51,41701.5,1.84
52,600743,شرب و بهداشت دام,تربت حیدریه,909801058240.0,80.0,1402/11/03,1403/04/16 - 03:06:55,,,
53,107165,کشاورزی,سبزوار,909801036539.0,80.0,1400/06/20,1404/01/27 - 02:10:38,124869.69,430549.4,5.28
54,603399,,تربت حیدریه,909801036469.0,125.0,1400/07/28,1402/04/23 - 03:12:41,77167.27,2075.4,19.61
55,515122,کشاورزی,مشهد,909801036264.0,150.0,1400/06/13,1404/01/28 - 02:07:46,616946.41,1059280.3,11.52
56,517768,کشاورزی,مشهد,909801032732.0,150.0,1399/06/18,1404/01/28 - 03:10:36,1232136.9,435266.5,20.68
57,805327,کشاورزی,نیشابور,909801034978.0,50.0,1400/07/20,1403/07/30 - 02:05:11,812.886,2269.7,1.82
58,516231,صنعتی,مشهد,909801034868.0,50.0,1400/03/25,1403/12/08 - 02:10:16,-0.074,,
59,603185,کشاورزی,تربت حیدریه,909801049332.0,100.0,1401/12/25,1404/01/28 - 03:10:34,3296.211,467.7,7.24
60,514487,کشاورزی,مشهد,909801036567.0,100.0,1400/06/27,1404/01/28 - 02:10:01,209708.06,124230.1,18.72
61,515828,شرب و بهداشت دام,مشهد,909801033194.0,50.0,1399/08/05,1403/10/05 - 02:10:29,-0.021,0.0,
62,514505,کشاورزی,مشهد,909801035290.0,125.0,1400/05/05,1404/01/26 - 02:11:26,397299.9,537857.0,25.93
63,514807,کشاورزی,مشهد,909801032635.0,80.0,1399/05/11,1404/01/28 - 02:10:31,121227.8,784689.3,17.62
64,202708,,قوچان,909801041993.0,50.0,1402/11/11,1404/01/28 - 03:09:23,,,
65,515628,صنعتی,مشهد,909801049591.0,50.0,1401/11/24,1404/01/28 - 02:48:47,2451.581,384.6,1.78
66,603161,کشاورزی,تربت حیدریه,909801050089.0,125.0,1402/02/30,1404/01/28 - 03:10:52,0.0,24.7,2.45
67,605058,کشاورزی,تربت حیدریه,909801036522.0,50.0,1400/07/10,1404/01/28 - 02:10:48,128114.68,193728.6,5.54
68,209268,کشاورزی,درگز,909801039023.0,50.0,1400/11/21,1403/07/19 - 03:10:32,71643.066,282328.6,3.54
69,514154,کشاورزی,مشهد,909801034945.0,125.0,1400/02/13,1404/01/28 - 02:10:37,222562.1,1240296.7,8.09
70,529036,کشاورزی,مشهد,909801033135.0,100.0,1399/07/19,1403/01/14 - 01:01:00,123123.1,1050507.3,8.34
71,514711,کشاورزی,مشهد,909801036263.0,150.0,1400/08/15,1400/11/14 - 02:11:03,,,
72,514711,کشاورزی,مشهد,909801039491.0,150.0,1401/01/07,1404/01/28 - 03:08:33,345201.9,237697.9,18.23
73,805221,سایر,نیشابور,909801034850.0,50.0,1400/02/28,1404/01/28 - 01:58:23,117959.257,168192.6,1.15
74,200712,کشاورزی,قوچان,909801036701.0,100.0,1400/09/15,1401/07/19 - 02:11:32,63431.734,127857.1,6.26
75,514422,کشاورزی,مشهد,909801034766.0,150.0,1400/02/19,1404/01/28 - 02:10:31,1245410.88,987821.1,31.94
76,529072,کشاورزی,مشهد,909801035368.0,125.0,1400/04/22,1403/12/11 - 03:11:09,553646.6,6711107.8,6.41
77,515960,سایر,مشهد,909801033113.0,50.0,1399/07/22,1404/01/26 - 02:10:25,731.643,8663.4,1.6
78,514579,کشاورزی,مشهد,909801035044.0,100.0,1400/04/01,1404/01/28 - 01:45:39,414343.8,286777.6,22.56
79,100476,شرب و بهداشت دام,سبزوار,909801047058.0,50.0,1401/08/25,1404/01/28 - 03:10:46,154.409,42.6,1.11
