,کد اشتراک,نوع پروانه,شهرستان,سریال کنتور,سایز کنتور,تاریخ نصب,زمان آخرین اتصال,مصرف بازه (m³),ساعت کارکرد بازه (h),میانگین دبی بازه l/s
789,604203,کشاورزی,تربت حیدریه,909801035366.0,125.0,1400/07/10,1404/01/28 - 02:10:35,64557.39,163288.7,2.96
790,302467,کشاورزی,گناباد,909801058056.0,150.0,1403/03/29,1404/01/28 - 03:10:57,,,
791,603009,کشاورزی,تربت حیدریه,909801053618.0,200.0,1403/02/02,1404/01/28 - 03:09:22,,,
792,805264,صنعتی,نیشابور,909801033374.0,50.0,1399/08/24,1404/01/28 - 02:10:39,44825.57,146305.6,0.81
793,516764,کشاورزی,مشهد,909801032477.0,50.0,1399/04/25,1404/01/28 - 03:10:41,24202.45,492778.6,2.55
794,601253,کشاورزی,تربت حیدریه,909801047563.0,80.0,1403/05/30,1403/06/23 - 03:08:54,0.0,,
795,1599772540,,کاشمر,929801000527.0,15.0,1403/07/18,1404/01/27 - 13:50:00,,,
796,515068,کشاورزی,مشهد,909801064593.0,125.0,1403/06/20,1404/01/28 - 03:04:46,,,
797,601207,شرب و بهداشت دام,تربت حیدریه,909801037794.0,50.0,1401/02/27,1403/01/24 - 03:12:18,7938.042,17.5,6.65
798,518957,,مشهد,909801069263.0,50.0,1403/12/18,1404/01/28 - 03:07:05,,,
799,0000297,,گناباد,929801000297.0,15.0,1403/03/26,1404/01/19 - 13:48:58,,,
800,517227,کشاورزی,مشهد,909801036885.0,80.0,1400/09/11,1404/01/19 - 02:11:12,182420.9,175823.0,15.89
801,517227,,مشهد,909801037824.0,80.0,1400/11/20,1404/01/28 - 02:11:24,182063.53,174808.0,15.98
802,514357,کشاورزی,مشهد,909801039574.0,150.0,1401/01/27,1404/01/28 - 02:07:26,312000.0,155799.2,19.08
803,603027,کشاورزی,تربت حیدریه,909801065377.0,200.0,1403/06/22,1404/01/27 - 03:10:43,,,
804,608931,کشاورزی,کاشمر,909801036531.0,80.0,1402/10/16,1404/01/28 - 02:10:33,0.0,,
805,605368,کشاورزی,تربت حیدریه,909801033235.0,80.0,1399/12/06,1404/01/28 - 02:10:31,286819.08,713383.9,8.31
806,603542,,تربت حیدریه,909801033044.0,80.0,1399/12/05,1404/01/07 - 02:10:19,51388.07,89750.0,6.6
807,806478,,نیشابور,909801041310.0,50.0,1401/02/26,1404/01/26 - 02:10:44,3971.99,17653.1,0.69
808,805918,,نیشابور,909801065269.0,100.0,1403/09/12,1404/01/28 - 03:11:23,,,
810,518080,شرب و بهداشت دام,مشهد,909801049862.0,50.0,1402/01/22,1404/01/28 - 03:11:20,0.0,,
811,529022,کشاورزی,مشهد,909801044147.0,150.0,1401/07/02,1404/01/28 - 02:08:29,112251.086,13333.9,15.84
812,805465,صنعتی,نیشابور,909801052850.0,50.0,1403/05/24,1403/12/16 - 03:07:20,,,
813,514360,کشاورزی,مشهد,909801033007.0,50.0,1399/07/22,1404/01/28 - 02:07:49,61209.58,255651.1,4.9
814,600099,کشاورزی,تربت حیدریه,909801066591.0,50.0,1403/07/05,1404/01/28 - 03:10:43,,,
816,14211332,,خرو,929801001363.0,20.0,1403/12/07,1404/01/28 - 14:20:08,,,
817,515472,صنعتی,مشهد,909801058314.0,150.0,1403/02/10,1404/01/28 - 03:07:30,,,
818,529296,کشاورزی,مشهد,909801052445.0,125.0,1402/12/15,1404/01/27 - 03:10:34,,,
819,5515797,,فریمان,929801000604.0,15.0,1403/11/10,1404/01/27 - 13:57:34,,,
